,UNICEF GLOBAL DATABASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child Mortality Estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional and global under-five mortality rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates generated by the UN Inter-agency Group for Child Mortality Estimation (UN IGME) in 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downloaded from http://data.unicef.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last update: 19 September 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates of under-five mortality rate by UNICEF region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and Southern Africa,Upper,168.141555,166.637799,165.083661,163.570648,163.973268,160.282205,156.079501,153.385651,150.102089,145.15214,140.120053,134.530475,128.62761,122.635497,116.718609,110.965601,105.630784,100.403117,95.368617,90.6247,86.429112,82.491144,78.938131,75.772967,73.036074,70.73571,68.620937,66.931622,65.449938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa,Lower,63.396222,60.758573,58.287257,55.948812,53.669781,51.447957,49.26389,47.125825,45.042665,43.027542,41.078356,39.197957,37.366712,35.640563,33.991764,32.408204,30.920136,29.48964,28.137621,26.902155,25.81299,24.919402,24.092641,23.258341,22.444944,21.661873,20.916587,20.124051,19.402641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa,Median,65.03562,62.353919,59.838211,57.450777,55.111005,52.809786,50.577348,48.404501,46.283627,44.234354,42.257629,40.352703,38.516291,36.76732,35.095784,33.501541,31.981514,30.545272,29.207499,28.009848,26.984145,26.175152,25.490214,24.778187,24.125926,23.488941,22.917645,22.345766,21.822994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa,Upper,66.826575,64.052591,61.502399,59.068002,56.658008,54.307019,52.010545,49.797598,47.670665,45.607536,43.606074,41.660696,39.797748,38.037578,36.342685,34.734615,33.214955,31.79289,30.492894,29.347738,28.421934,27.742902,27.247789,26.79033,26.424323,26.09702,25.871302,25.659097,25.569852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Lower,126.335298,122.778346,119.33516,115.960579,112.588022,109.149889,105.646337,102.113228,98.570028,95.003943,91.442903,87.970899,84.578757,81.264443,78.169889,74.89047,71.74551,68.693216,65.70446,62.74401,59.819511,57.017915,54.221711,51.478229,48.773342,46.105931,43.467062,40.958048,38.614322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Median,129.555407,125.886232,122.351365,118.905318,115.464431,111.986393,108.414691,104.824215,101.187402,97.5564,93.968228,90.442456,87.014483,83.69123,80.569479,77.256876,74.110033,71.026639,67.982281,64.976633,62.035092,59.167811,56.406053,53.732682,51.163681,48.712511,46.38635,44.151754,42.130148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Upper,132.883373,129.053869,125.418677,121.944177,118.475009,114.90835,111.326004,107.665112,103.95671,100.270146,96.636425,93.103633,89.624495,86.267444,83.118879,79.827396,76.711867,73.606465,70.509229,67.444993,64.428155,61.461786,58.695559,56.109838,53.716683,51.453587,49.359731,47.493206,45.855303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia and Pacific,Lower,54.121366,53.208146,52.054859,50.663785,49.118491,47.43849,45.709352,44.004852,42.208638,40.290788,38.306895,36.228358,34.125233,32.041627,30.928229,28.180828,26.500659,25.009022,24.293802,22.361979,21.184646,20.099959,19.064791,18.095364,17.200584,16.360264,15.52752,14.73316,13.993029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia and Pacific,Median,56.762562,55.589384,54.170922,52.555761,50.844088,49.060531,47.256039,45.439307,43.568807,41.606806,39.535389,37.374564,35.171339,33.030623,31.920281,29.12159,27.400186,25.839419,25.115507,23.115095,21.916886,20.816572,19.760916,18.796605,17.908235,17.102174,16.332846,15.629529,14.993367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia and Pacific,Upper,59.893867,58.378069,56.601969,54.703057,52.74456,50.823148,48.925193,47.007758,45.09764,43.065385,40.915043,38.679269,36.382134,34.159416,32.995771,30.109118,28.348606,26.743581,26.010189,23.940584,22.711214,21.597375,20.545466,19.601302,18.74288,18.003867,17.325046,16.764135,16.277349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
